395, 85,5.75, 0.5,30, 45,0, 0,55, 3.2,0.651, 3,14, 3.8,30, 1.25,345,150
380, 80,5.5, 0.6,230, 50,6.25, 0.6,50, 3,0.668, 2,11, 3.5,30, 0,330,550
445, 85,7.25, 0.65,200, 0,50, 0,53, 3.2,0.694, 3.1,16.5, 3.5,30, 1.25,350,125
442, 102,7.25, 0.85,215, 38,6.45, 0.45,55.03, 3.62,0.625, 2.125,14.5, 3.5,30, 1.25,330,125
472, 84,7.45, 0.85,220, 40,6.5, 0.525,47, 3.8,0.638, 2.18,18, 3.3,30, 1.25,335,125
350, 70,4.65, 0.55,257, 53,7.0, 0.6,48, 3.2,0.625, 1.68,10.5, 4,30, 0,325,600
384, 76,4.5, 0.55,250, 50,6.9, 0.6,48, 2.625,0.579, 1.36,8.5, 4,30, 0,335,625
395, 79,4.5, 0.55,173, 35,6.3, 0.4,46.3, 2.85,0.658, 4,11.5, 3.4,30, 0,325,600
423, 95,7.25, 0.75,200, 40,6.6, 0.5,55.66, 3.5,0.625, 1.13,14.5, 3.5,30, 1.25,325,125
380, 76,4.5, 0.55,250, 45,7.0, 0.6,52, 3,0.625, 1.36,12, 3.5,30, 0,340,550
390, 80,4.75, 0.55,255, 35,6.5, 0.55,47, 3,0.625, 4,13, 3.5,30, 0,325,650
380, 75,4.85, 0.5,250, 50,7.1, 0.75,47, 3.2,0.647, 1.68,11.5, 4,30, 0,335,550
440, 80,7.5, 0.85,205, 40,6.45, 0.45,54.1, 4.2,0.625, 1.44,19, 3.5,30, 1.25,345,125
375, 82,4.5, 0.55,243, 37,6.5, 0.55,48.2, 3,0.658, 2.3,13.5, 3.5,30, 0,325,550
426, 93,8.25, 0.95,200, 37.5,6, 0.35,50, 3.5,0.679, 2.65,20, 3.5,30, 1.25,340,125
438, 90,6, 0.85,230, 40,7, 0.6,48, 3,0.625, 2.25,16, 3.6,30, 1.25,345,150
433, 89,6.5, 0.75,0, 0,0, 0,56.23, 3,0.625, 2.8,17, 3.5,30, 1.25,345,125
420, 82,5, 0.7,240, 42,6.95, 0.65,46.5, 3.5,0.679, 2.7,16, 3.3,30, 0,330,550
395, 80,4.7, 0.6,240, 50,6.8, 0.65,47.5, 3,0.625, 1.75,12.5, 3.35,30, 0,335,550
380, 90,8.9, 0.55,190, 45,7.1, 0.6,48, 3.5,0.625, 3.6,12, 4,30, 1.25,340,125
350, 80,5.5, 0.55,235, 45,7.0, 0.65,47.2, 3,0.625, 2.8,12, 3.5,30, 0,325,550
390, 80,4.6, 0.6,251, 59,6.9, 0.65,45.95, 2.625,0.625, 2.11,11, 3.5,30, 0,335,480
450, 85,5.5, 0.8,220, 40,6.75, 0.5,54.5, 3.2,0.672, 3,15, 3.5,30, 1.25,350,125
414, 86,7.0, 0.7,200, 40,6.1, 0.45,53, 3,0.658, 3.1,12.7, 3.4,30, 1.25,335,175
435, 85,7.45, 0.75,235, 50,7, 0.7,56.3, 3.375,0.638, 1.2,17, 3.5,30, 0,335,125
495, 81,4.25, 0.75,215, 40,6.5, 0.7,54, 3,0.651, 2.75,16.5, 3.3,30, 1.25,345,125
455, 96,7.45, 0.75,0, 0,0, 0,52, 3.5,0.625, 2.9,19, 2.7,30, 1.25,345,125
434, 89,7.25, 0.85,221, 47,6.45, 0.45,55.78, 3.375,0.651, 2.05,16, 3.6,30, 0,340,125
